facade,combo_id,n_stubb,combo_label,d0,d1,d2,d3,d4,PF_Kjeller,LF_Kjeller,PF_2F,LF_2F,PF_3F,LF_3F,PF_4F,LF_4F,mean_LF_focus,min_PF_focus,mean_PF_focus
Murbygg,0,0,-----,0,0,0,0,0,14.206151709926932,0.07039204004144367,8.405848023001553,0.11896479656349067,7.580471151406566,0.13191792172633607,5.060742638704227,0.19759945750887742,0.12971855396003695,5.060742638704227,8.81330338075982
Murbygg,1,1,----S,0,0,0,0,1,20.204366537224768,0.04949425155980951,11.78066217987648,0.08488487189694502,12.61739744190116,0.07925564718117672,9.98974003153112,0.10010270505975627,0.07843436892442188,9.98974003153112,13.648041547633381
Murbygg,2,1,---S-,0,0,0,1,0,20.204366537224768,0.04949425155980951,11.78066217987648,0.08488487189694502,12.61739744190116,0.07925564718117672,5.272994480655862,0.18964556167629795,0.1008200830785573,5.272994480655862,12.468855159914566
Murbygg,3,2,---SS,0,0,0,1,1,26.163975586839637,0.03822049125068728,14.871986173186142,0.06724051437076896,18.80496213173512,0.053177453535649885,10.852012178851643,0.09214880922717686,0.06269681709607075,10.852012178851643,17.673234017653133
Murbygg,4,1,--S--,0,0,1,0,0,20.204366537224768,0.04949425155980951,11.78066217987648,0.08488487189694502,8.505986785722287,0.11756425505839589,5.179188192303804,0.19308045254775352,0.11125595776572599,5.179188192303804,11.417550923781835
Murbygg,5,2,--S-S,0,0,1,0,1,26.163975586839637,0.03822049125068728,14.871986173186142,0.06724051437076896,15.407850301210038,0.06490198051323656,10.462034834057524,0.09558370009863242,0.06648667155833131,10.462034834057524,16.726461723823334
Murbygg,6,2,--SS-,0,0,1,1,0,26.163975586839637,0.03822049125068728,14.871986173186142,0.06724051437076896,15.407850301210038,0.06490198051323656,5.32363532485359,0.18784156670752086,0.08955113821055341,5.32363532485359,15.441861846522352
Murbygg,7,3,--SSS,0,0,1,1,1,31.141117064873217,0.032111885964681314,17.241701153701857,0.05799891733915689,25.757404948864323,0.038823786867709716,11.068703922948467,0.09034481425839976,0.05481985110748691,11.068703922948467,21.30223177259697
Murbygg,8,1,-S---,0,1,0,0,0,20.204366537224768,0.04949425155980951,10.139407297523155,0.09862509421475545,7.9377438244103535,0.12598038209859763,5.11000617690915,0.19569447968942816,0.11744855189064769,5.11000617690915,10.847880959016857
Murbygg,9,2,-S--S,0,1,0,0,1,26.163975586839637,0.03822049125068728,15.493026155165404,0.0645451695482098,13.639195464382993,0.07331810755343829,10.183535078697135,0.09819772724030705,0.0685703738981606,10.183535078697135,16.369933071271294
