facade,analysis,deck_k,deck_label,deck_z,floor_index,floor_label,z_m,PF,Dg_in,Dr_in,Dg_ref,Dr_ref,ground_pct,roof_pct
Murbygg,all_stubb,-1,-1,,-1,Kjeller,-1.1,37.06750971541429,0.03842565013392303,0.0034081404849534576,0.5507251446215115,0.9999492955763,91.85313968795451,8.14686031204549
Murbygg,all_stubb,-1,-1,,0,1. etasje,1.5,9.641991049075642,0.191316086476387,0.010883799115902907,0.7436205829470717,1.2059889040579064,94.61730698609361,5.382693013906392
Murbygg,all_stubb,-1,-1,,1,2. etasje,4.5,26.553925785610303,0.09439875772278074,0.03652010378268753,1.9451084870412334,1.5313012453115646,72.10478050088898,27.89521949911101
Murbygg,all_stubb,-1,-1,,2,3. etasje,7.5,27.300799764144546,0.04308025222186958,0.12901027520304117,2.696155236194249,2.0020537943392656,25.033482589950818,74.96651741004918
Murbygg,all_stubb,-1,-1,,3,4. etasje,10.5,11.115144313250395,0.0239710624659447,0.5003916413516143,3.125342298506251,2.703024826912091,4.571465951225419,95.42853404877458
Murbygg,all_stubb,-1,-1,,4,5. etasje,13.5,2.629579500835307,0.014320447743174768,2.6771996938378586,3.3529218731732007,3.7246443172136283,0.532057981730828,99.46794201826917
Murbygg,all_utsk,-1,-1,,-1,Kjeller,-1.1,14.206151709926932,0.03842565013392303,0.07072948715172456,0.5507251446215115,0.9999492955763,35.202786684576395,64.7972133154236
Murbygg,all_utsk,-1,-1,,0,1. etasje,1.5,6.0832694826410645,0.191316086476387,0.1291710286462116,0.7436205829470717,1.2059889040579064,59.69540660104268,40.30459339895731
Murbygg,all_utsk,-1,-1,,1,2. etasje,4.5,8.405848023001553,0.16510789692108294,0.24846247965960674,1.9451084870412334,1.5313012453115646,39.922563672514286,60.077436327485714
Murbygg,all_utsk,-1,-1,,2,3. etasje,7.5,7.580471151406566,0.12082851721892547,0.49894945392495993,2.696155236194249,2.0020537943392656,19.4954520561484,80.50454794385159
Murbygg,all_utsk,-1,-1,,3,4. etasje,10.5,5.060742638704227,0.08304367398411752,1.068638508161122,3.125342298506251,2.703024826912091,7.210641552987472,92.78935844701252
Murbygg,all_utsk,-1,-1,,4,5. etasje,13.5,2.5841968303661056,0.061587888911456876,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.2487282073052284,97.75127179269478
Murbygg,remove_one,0,K–1,z=0 m,-1,Kjeller,-1.1,34.73441666682536,0.03842565013392303,0.006218094860327915,0.5507251446215115,0.9999492955763,86.07174451621688,13.928255483783133
Murbygg,remove_one,0,K–1,z=0 m,0,1. etasje,1.5,9.641991049075642,0.191316086476387,0.010883799115902907,0.7436205829470717,1.2059889040579064,94.61730698609361,5.382693013906392
Murbygg,remove_one,0,K–1,z=0 m,1,2. etasje,4.5,26.553925785610303,0.09439875772278074,0.03652010378268753,1.9451084870412334,1.5313012453115646,72.10478050088898,27.89521949911101
Murbygg,remove_one,0,K–1,z=0 m,2,3. etasje,7.5,27.300799764144546,0.04308025222186958,0.12901027520304117,2.696155236194249,2.0020537943392656,25.033482589950818,74.96651741004918
Murbygg,remove_one,0,K–1,z=0 m,3,4. etasje,10.5,11.115144313250395,0.0239710624659447,0.5003916413516143,3.125342298506251,2.703024826912091,4.571465951225419,95.42853404877458
Murbygg,remove_one,0,K–1,z=0 m,4,5. etasje,13.5,2.629579500835307,0.014320447743174768,2.6771996938378586,3.3529218731732007,3.7246443172136283,0.532057981730828,99.46794201826917
Murbygg,remove_one,1,1–2,z=3 m,-1,Kjeller,-1.1,34.73441666682536,0.03842565013392303,0.006218094860327915,0.5507251446215115,0.9999492955763,86.07174451621688,13.928255483783133
Murbygg,remove_one,1,1–2,z=3 m,0,1. etasje,1.5,9.222977075947155,0.191316086476387,0.020070049578251602,0.7436205829470717,1.2059889040579064,90.5055033632556,9.4944966367444
Murbygg,remove_one,1,1–2,z=3 m,1,2. etasje,4.5,17.241701153701857,0.16510789692108294,0.03652010378268753,1.9451084870412334,1.5313012453115646,81.88738485963442,18.112615140365573
Murbygg,remove_one,1,1–2,z=3 m,2,3. etasje,7.5,25.757404948864323,0.0533919908583411,0.12901027520304117,2.696155236194249,2.0020537943392656,29.27156115504264,70.72843884495737
Murbygg,remove_one,1,1–2,z=3 m,3,4. etasje,10.5,11.068703922948467,0.026171104024069157,0.5003916413516143,3.125342298506251,2.703024826912091,4.970177676621809,95.02982232337818
Murbygg,remove_one,1,1–2,z=3 m,4,5. etasje,13.5,2.6290651193306087,0.014847048689713954,2.6771996938378586,3.3529218731732007,3.7246443172136283,0.5515152636530377,99.44848473634696
Murbygg,remove_one,2,2–3,z=6 m,-1,Kjeller,-1.1,34.73441666682536,0.03842565013392303,0.006218094860327915,0.5507251446215115,0.9999492955763,86.07174451621688,13.928255483783133
Murbygg,remove_one,2,2–3,z=6 m,0,1. etasje,1.5,9.222977075947155,0.191316086476387,0.020070049578251602,0.7436205829470717,1.2059889040579064,90.5055033632556,9.4944966367444
Murbygg,remove_one,2,2–3,z=6 m,1,2. etasje,4.5,21.321592460493132,0.09439875772278074,0.06864768164586645,1.9451084870412334,1.5313012453115646,57.896853245194535,42.10314675480547
Murbygg,remove_one,2,2–3,z=6 m,2,3. etasje,7.5,21.168539848514122,0.09293271492073417,0.12901027520304117,2.696155236194249,2.0020537943392656,41.87233616565522,58.12766383434479
Murbygg,remove_one,2,2–3,z=6 m,3,4. etasje,10.5,10.951219499813382,0.03182005667139238,0.5003916413516143,3.125342298506251,2.703024826912091,5.978834510701951,94.02116548929804
Murbygg,remove_one,2,2–3,z=6 m,4,5. etasje,13.5,2.6279115211674893,0.016028800872843522,2.6771996938378586,3.3529218731732007,3.7246443172136283,0.595151911704591,99.40484808829541
Murbygg,remove_one,3,3–4,z=9 m,-1,Kjeller,-1.1,34.73441666682536,0.03842565013392303,0.006218094860327915,0.5507251446215115,0.9999492955763,86.07174451621688,13.928255483783133
Murbygg,remove_one,3,3–4,z=9 m,0,1. etasje,1.5,9.222977075947155,0.191316086476387,0.020070049578251602,0.7436205829470717,1.2059889040579064,90.5055033632556,9.4944966367444
Murbygg,remove_one,3,3–4,z=9 m,1,2. etasje,4.5,21.321592460493132,0.09439875772278074,0.06864768164586645,1.9451084870412334,1.5313012453115646,57.896853245194535,42.10314675480547
Murbygg,remove_one,3,3–4,z=9 m,2,3. etasje,7.5,15.947142948271559,0.04308025222186958,0.2515310800884571,2.696155236194249,2.0020537943392656,14.622741048022997,85.37725895197701
Murbygg,remove_one,3,3–4,z=9 m,3,4. etasje,10.5,10.554209770988821,0.05183986170598358,0.5003916413516143,3.125342298506251,2.703024826912091,9.387342340840101,90.61265765915991
Murbygg,remove_one,3,3–4,z=9 m,4,5. etasje,13.5,2.6253225234287174,0.01868476501461163,2.6771996938378586,3.3529218731732007,3.7246443172136283,0.6930847853385002,99.3069152146615
Murbygg,remove_one,4,4–5,z=12 m,-1,Kjeller,-1.1,34.73441666682536,0.03842565013392303,0.006218094860327915,0.5507251446215115,0.9999492955763,86.07174451621688,13.928255483783133
Murbygg,remove_one,4,4–5,z=12 m,0,1. etasje,1.5,9.222977075947155,0.191316086476387,0.020070049578251602,0.7436205829470717,1.2059889040579064,90.5055033632556,9.4944966367444
Murbygg,remove_one,4,4–5,z=12 m,1,2. etasje,4.5,21.321592460493132,0.09439875772278074,0.06864768164586645,1.9451084870412334,1.5313012453115646,57.896853245194535,42.10314675480547
Murbygg,remove_one,4,4–5,z=12 m,2,3. etasje,7.5,15.947142948271559,0.04308025222186958,0.2515310800884571,2.696155236194249,2.0020537943392656,14.622741048022997,85.37725895197701
Murbygg,remove_one,4,4–5,z=12 m,3,4. etasje,10.5,5.334354816307664,0.0239710624659447,1.068638508161122,3.125342298506251,2.703024826912091,2.19392755750687,97.80607244249315
Murbygg,remove_one,4,4–5,z=12 m,4,5. etasje,13.5,2.606774966592263,0.03786634795364306,2.6771996938378586,3.3529218731732007,3.7246443172136283,1.3946750233985998,98.60532497660141
Murbygg,preserve_one,0,K–1,z=0 m,-1,Kjeller,-1.1,20.204366537224768,0.03842565013392303,0.038323820696594235,0.5507251446215115,0.9999492955763,50.066338853041515,49.933661146958485
Murbygg,preserve_one,0,K–1,z=0 m,0,1. etasje,1.5,6.0832694826410645,0.191316086476387,0.1291710286462116,0.7436205829470717,1.2059889040579064,59.69540660104268,40.30459339895731
Murbygg,preserve_one,0,K–1,z=0 m,1,2. etasje,4.5,8.405848023001553,0.16510789692108294,0.24846247965960674,1.9451084870412334,1.5313012453115646,39.922563672514286,60.077436327485714
Murbygg,preserve_one,0,K–1,z=0 m,2,3. etasje,7.5,7.580471151406566,0.12082851721892547,0.49894945392495993,2.696155236194249,2.0020537943392656,19.4954520561484,80.50454794385159
Murbygg,preserve_one,0,K–1,z=0 m,3,4. etasje,10.5,5.060742638704227,0.08304367398411752,1.068638508161122,3.125342298506251,2.703024826912091,7.210641552987472,92.78935844701252
Murbygg,preserve_one,0,K–1,z=0 m,4,5. etasje,13.5,2.5841968303661056,0.061587888911456876,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.2487282073052284,97.75127179269478
Murbygg,preserve_one,1,1–2,z=3 m,-1,Kjeller,-1.1,20.204366537224768,0.03842565013392303,0.038323820696594235,0.5507251446215115,0.9999492955763,50.066338853041515,49.933661146958485
Murbygg,preserve_one,1,1–2,z=3 m,0,1. etasje,1.5,7.487214035618842,0.191316086476387,0.06907575990734424,0.7436205829470717,1.2059889040579064,73.47237985111505,26.52762014888495
Murbygg,preserve_one,1,1–2,z=3 m,1,2. etasje,4.5,10.139407297523155,0.09439875772278074,0.24846247965960674,1.9451084870412334,1.5313012453115646,27.532642197607004,72.467357802393
Murbygg,preserve_one,1,1–2,z=3 m,2,3. etasje,7.5,7.9377438244103535,0.09293271492073417,0.49894945392495993,2.696155236194249,2.0020537943392656,15.701218893276387,84.29878110672361
Murbygg,preserve_one,1,1–2,z=3 m,3,4. etasje,10.5,5.11000617690915,0.0719407638865885,1.068638508161122,3.125342298506251,2.703024826912091,6.307388328864809,93.69261167113518
Murbygg,preserve_one,1,1–2,z=3 m,4,5. etasje,13.5,2.5886292592855566,0.05689834859104759,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.08106467683582,97.91893532316418
Murbygg,preserve_one,2,2–3,z=6 m,-1,Kjeller,-1.1,20.204366537224768,0.03842565013392303,0.038323820696594235,0.5507251446215115,0.9999492955763,50.066338853041515,49.933661146958485
Murbygg,preserve_one,2,2–3,z=6 m,0,1. etasje,1.5,7.487214035618842,0.191316086476387,0.06907575990734424,0.7436205829470717,1.2059889040579064,73.47237985111505,26.52762014888495
Murbygg,preserve_one,2,2–3,z=6 m,1,2. etasje,4.5,11.78066217987648,0.16510789692108294,0.12998669787097725,1.9451084870412334,1.5313012453115646,55.95083740433368,44.04916259566632
Murbygg,preserve_one,2,2–3,z=6 m,2,3. etasje,7.5,8.505986785722287,0.0533919908583411,0.49894945392495993,2.696155236194249,2.0020537943392656,9.666482818302411,90.33351718169759
Murbygg,preserve_one,2,2–3,z=6 m,3,4. etasje,10.5,5.179188192303804,0.05670525402910091,1.068638508161122,3.125342298506251,2.703024826912091,5.038927297978457,94.96107270202154
Murbygg,preserve_one,2,2–3,z=6 m,4,5. etasje,13.5,2.5942711918086205,0.05095232540136223,2.6771996938378586,3.3529218731732007,3.7246443172136283,1.8676497879165441,98.13235021208345
Murbygg,preserve_one,3,3–4,z=9 m,-1,Kjeller,-1.1,20.204366537224768,0.03842565013392303,0.038323820696594235,0.5507251446215115,0.9999492955763,50.066338853041515,49.933661146958485
Murbygg,preserve_one,3,3–4,z=9 m,0,1. etasje,1.5,7.487214035618842,0.191316086476387,0.06907575990734424,0.7436205829470717,1.2059889040579064,73.47237985111505,26.52762014888495
Murbygg,preserve_one,3,3–4,z=9 m,1,2. etasje,4.5,11.78066217987648,0.16510789692108294,0.12998669787097725,1.9451084870412334,1.5313012453115646,55.95083740433368,44.04916259566632
Murbygg,preserve_one,3,3–4,z=9 m,2,3. etasje,7.5,12.61739744190116,0.12082851721892547,0.2515310800884571,2.696155236194249,2.0020537943392656,32.44941666406993,67.55058333593009
Murbygg,preserve_one,3,3–4,z=9 m,3,4. etasje,10.5,5.272994480655862,0.03668544899450971,1.068638508161122,3.125342298506251,2.703024826912091,3.3189770978015933,96.68102290219841
Murbygg,preserve_one,3,3–4,z=9 m,4,5. etasje,13.5,2.601123001100786,0.0437658996352794,2.6771996938378586,3.3529218731732007,3.7246443172136283,1.6084694249814104,98.39153057501859
Murbygg,preserve_one,4,4–5,z=12 m,-1,Kjeller,-1.1,20.204366537224768,0.03842565013392303,0.038323820696594235,0.5507251446215115,0.9999492955763,50.066338853041515,49.933661146958485
Murbygg,preserve_one,4,4–5,z=12 m,0,1. etasje,1.5,7.487214035618842,0.191316086476387,0.06907575990734424,0.7436205829470717,1.2059889040579064,73.47237985111505,26.52762014888495
Murbygg,preserve_one,4,4–5,z=12 m,1,2. etasje,4.5,11.78066217987648,0.16510789692108294,0.12998669787097725,1.9451084870412334,1.5313012453115646,55.95083740433368,44.04916259566632
Murbygg,preserve_one,4,4–5,z=12 m,2,3. etasje,7.5,12.61739744190116,0.12082851721892547,0.2515310800884571,2.696155236194249,2.0020537943392656,32.44941666406993,67.55058333593009
Murbygg,preserve_one,4,4–5,z=12 m,3,4. etasje,10.5,9.98974003153112,0.08304367398411752,0.5003916413516143,3.125342298506251,2.703024826912091,14.233569995044078,85.76643000495594
Murbygg,preserve_one,4,4–5,z=12 m,4,5. etasje,13.5,2.6195899312423903,0.024584316696247936,2.6771996938378586,3.3529218731732007,3.7246443172136283,0.9099290172861726,99.09007098271383
Trebygg,all_stubb,-1,-1,,-1,Kjeller,-1.1,36.95616337874143,0.03855169242047789,0.0034081404849534576,0.5507251446215115,0.9999492955763,91.87761187554133,8.122388124458672
Trebygg,all_stubb,-1,-1,,0,1. etasje,1.5,4.242349064835442,0.4486751521182531,0.010883799115902907,0.7436205829470717,1.2059889040579064,97.6316859704997,2.3683140295002887
Trebygg,all_stubb,-1,-1,,1,2. etasje,4.5,9.394343134221215,0.3335334148810195,0.03652010378268753,1.9451084870412334,1.5313012453115646,90.13112916354245,9.868870836457535
Trebygg,all_stubb,-1,-1,,2,3. etasje,7.5,13.186057553840786,0.2272909931138894,0.12901027520304117,2.696155236194249,2.0020537943392656,63.791800177290895,36.20819982270911
Trebygg,all_stubb,-1,-1,,3,4. etasje,10.5,9.015256629708754,0.14610877065125885,0.5003916413516143,3.125342298506251,2.703024826912091,22.59995012201315,77.40004987798686
Trebygg,all_stubb,-1,-1,,4,5. etasje,13.5,2.5508840508116304,0.09735455849474636,2.6771996938378586,3.3529218731732007,3.7246443172136283,3.5088360017793523,96.49116399822066
Trebygg,all_utsk,-1,-1,,-1,Kjeller,-1.1,14.189766675910334,0.03855169242047789,0.07072948715172456,0.5507251446215115,0.9999492955763,35.27752223337474,64.72247776662526
Trebygg,all_utsk,-1,-1,,0,1. etasje,1.5,3.3739246739084297,0.4486751521182531,0.1291710286462116,0.7436205829470717,1.2059889040579064,77.64612228200174,22.35387771799826
Trebygg,all_utsk,-1,-1,,1,2. etasje,4.5,4.643376055772181,0.5002190164322882,0.24846247965960674,1.9451084870412334,1.5313012453115646,66.81332703471679,33.18667296528321
Trebygg,all_utsk,-1,-1,,2,3. etasje,7.5,4.842357597433706,0.47128228464457783,0.49894945392495993,2.696155236194249,2.0020537943392656,48.57419788590027,51.425802114099724
Trebygg,all_utsk,-1,-1,,3,4. etasje,10.5,3.929756905523845,0.4144983029799755,1.068638508161122,3.125342298506251,2.703024826912091,27.94740848358206,72.05259151641795
Trebygg,all_utsk,-1,-1,,4,5. etasje,13.5,2.323026147454363,0.36950135089322333,2.6771996938378586,3.3529218731732007,3.7246443172136283,12.127916243447427,87.87208375655257
Trebygg,remove_one,0,K–1,z=0 m,-1,Kjeller,-1.1,34.63662738604599,0.03855169242047789,0.006218094860327915,0.5507251446215115,0.9999492955763,86.11095732636235,13.889042673637642
Trebygg,remove_one,0,K–1,z=0 m,0,1. etasje,1.5,4.242349064835442,0.4486751521182531,0.010883799115902907,0.7436205829470717,1.2059889040579064,97.6316859704997,2.3683140295002887
Trebygg,remove_one,0,K–1,z=0 m,1,2. etasje,4.5,9.394343134221215,0.3335334148810195,0.03652010378268753,1.9451084870412334,1.5313012453115646,90.13112916354245,9.868870836457535
Trebygg,remove_one,0,K–1,z=0 m,2,3. etasje,7.5,13.186057553840786,0.2272909931138894,0.12901027520304117,2.696155236194249,2.0020537943392656,63.791800177290895,36.20819982270911
Trebygg,remove_one,0,K–1,z=0 m,3,4. etasje,10.5,9.015256629708754,0.14610877065125885,0.5003916413516143,3.125342298506251,2.703024826912091,22.59995012201315,77.40004987798686
Trebygg,remove_one,0,K–1,z=0 m,4,5. etasje,13.5,2.5508840508116304,0.09735455849474636,2.6771996938378586,3.3529218731732007,3.7246443172136283,3.5088360017793523,96.49116399822066
Trebygg,remove_one,1,1–2,z=3 m,-1,Kjeller,-1.1,34.63662738604599,0.03855169242047789,0.006218094860327915,0.5507251446215115,0.9999492955763,86.11095732636235,13.889042673637642
Trebygg,remove_one,1,1–2,z=3 m,0,1. etasje,1.5,4.159209480862652,0.4486751521182531,0.020070049578251602,0.7436205829470717,1.2059889040579064,95.71834559466143,4.281654405338579
Trebygg,remove_one,1,1–2,z=3 m,1,2. etasje,4.5,6.4769076846130025,0.5002190164322882,0.03652010378268753,1.9451084870412334,1.5313012453115646,93.19593031190637,6.804069688093619
Trebygg,remove_one,1,1–2,z=3 m,2,3. etasje,7.5,12.356039149089677,0.25122557334391427,0.12901027520304117,2.696155236194249,2.0020537943392656,66.07098575895859,33.92901424104141
Trebygg,remove_one,1,1–2,z=3 m,3,4. etasje,10.5,8.94729493653949,0.15101944621811733,0.5003916413516143,3.125342298506251,2.703024826912091,23.183431952553484,76.81656804744651
Trebygg,remove_one,1,1–2,z=3 m,4,5. etasje,13.5,2.5498572490781686,0.09847184343958318,2.6771996938378586,3.3529218731732007,3.7246443172136283,3.547676377305462,96.45232362269455
Trebygg,remove_one,2,2–3,z=6 m,-1,Kjeller,-1.1,34.63662738604599,0.03855169242047789,0.006218094860327915,0.5507251446215115,0.9999492955763,86.11095732636235,13.889042673637642
Trebygg,remove_one,2,2–3,z=6 m,0,1. etasje,1.5,4.159209480862652,0.4486751521182531,0.020070049578251602,0.7436205829470717,1.2059889040579064,95.71834559466143,4.281654405338579
Trebygg,remove_one,2,2–3,z=6 m,1,2. etasje,4.5,8.64389142695671,0.3335334148810195,0.06864768164586645,1.9451084870412334,1.5313012453115646,82.93115160342268,17.06884839657732
Trebygg,remove_one,2,2–3,z=6 m,2,3. etasje,7.5,8.768444543366323,0.40679844289940686,0.12901027520304117,2.696155236194249,2.0020537943392656,75.92232622493947,24.07767377506054
Trebygg,remove_one,2,2–3,z=6 m,3,4. etasje,10.5,8.649825967223876,0.17342158304195482,0.5003916413516143,3.125342298506251,2.703024826912091,25.737337405040396,74.26266259495962
Trebygg,remove_one,2,2–3,z=6 m,4,5. etasje,13.5,2.5456958503926894,0.10300917883444827,2.6771996938378586,3.3529218731732007,3.7246443172136283,3.705087766856774,96.29491223314322
Trebygg,remove_one,3,3–4,z=9 m,-1,Kjeller,-1.1,34.63662738604599,0.03855169242047789,0.006218094860327915,0.5507251446215115,0.9999492955763,86.11095732636235,13.889042673637642
Trebygg,remove_one,3,3–4,z=9 m,0,1. etasje,1.5,4.159209480862652,0.4486751521182531,0.020070049578251602,0.7436205829470717,1.2059889040579064,95.71834559466143,4.281654405338579
