scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,avg_soil_path_m,floor_decks_above,kjellerdekke_mode,base_scenario
Kjellervindu 60x30 cm | kjellerdekke:same_as_floor,Lett bjelkelag + trevegg | dekke 26.4 | lett tak 35,5 målepunkter,4. etasje,3,10.5,2.413172080475594,2.413172080475594,0.41439232953620014,0.2850462986780604,0.7149537013219397,1.6950226097836676,0.0,1,same_as_floor,Kjellervindu 60x30 cm
Kjellervindu 60x30 cm | kjellerdekke:same_as_floor,Lett bjelkelag + trevegg | dekke 26.4 | lett tak 35,5 målepunkter,5. etasje,4,13.5,2.102259786850445,2.102259786850445,0.47567860368873627,0.1939113331043258,0.8060886668956742,2.092333162241398,0.0,0,same_as_floor,Kjellervindu 60x30 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,Kjeller,-1,-1.1,357.27555356238724,357.27555356238724,0.002798960046465593,0.7483094533672366,0.2516905466327633,0.0,12.291170544970132,5,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,1. etasje,0,1.5,11.106552495599308,11.106552495599308,0.0900369399411946,0.9746697373100967,0.02533026268990339,0.0,0.0,4,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,2. etasje,1,4.5,34.585447968094876,34.585447968094876,0.02891389467970753,0.8000578102760281,0.19994218972397193,0.7389451382382641,0.0,3,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,3. etasje,2,7.5,38.68824462447855,38.68824462447855,0.025847644671045302,0.26254007534628165,0.7374599246537185,1.252122933293688,0.0,2,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,4. etasje,3,10.5,13.097507882446896,13.097507882446896,0.07635040260904798,0.03739110468168753,0.9626088953183124,1.6950226097836676,0.0,1,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,5. etasje,4,13.5,2.599523349287696,2.599523349287696,0.38468590800463986,0.003241024587715632,0.9967589754122844,2.092333162241398,0.0,0,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,Kjeller,-1,-1.1,4.964815021290597,4.964815021290597,0.20141737319753183,0.010398746786918526,0.9896012532130815,0.0,12.291170544970132,5,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,1. etasje,0,1.5,3.1631602325381656,3.1631602325381656,0.3161395334050421,0.2775871769515602,0.7224128230484398,0.0,0.0,4,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,2. etasje,1,4.5,3.586357451323709,3.586357451323709,0.278834447924566,0.2644436641674286,0.7355563358325714,0.7389451382382641,0.0,3,same_as_floor,Luftespalte 15x15 cm
Luftespalte 15x15 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,3. etasje,2,7.5,3.5045223224964475,3.5045223224964475,0.2853455929159697,0.17684205065625702,0.8231579493437431,1.252122933293688,0.0,2,same_as_floor,Luftespalte 15x15 cm
