scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,diag_avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,Kjeller,-1,-1.1,39.900620577770106,39.900620577770106,0.025062266839958162,0.9887357698707027,0.011264230129297408,0.0,11.921624055050621,5,0.03842565013392303,0.00043776646821726576,0.5507251446215115,0.9999492955763,0.038863416602140294,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,3. etasje,2,7.5,19.540606808556618,19.540606808556618,0.051175483432894776,0.7811749965594011,0.21882500344059883,1.252122933293688,0.0,2,0.18782034044384227,0.052612777962502244,2.696155236194249,2.0020537943392656,0.24043311840634451,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,4. etasje,3,10.5,14.223515601621424,14.223515601621424,0.07030610631073544,0.25721867287089106,0.7427813271291088,1.6950226097836676,0.0,1,0.1054004438138724,0.3043693549237851,3.125342298506251,2.703024826912091,0.4097697987376575,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | stubbloft bevart,5 målepunkter i rommet,5. etasje,4,13.5,2.588740264037011,2.588740264037011,0.38628827074391386,0.020768657491449318,0.9792313425085507,2.092333162241398,0.0,0,0.05678111092225987,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.7339808047601184,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | full utskifting + mineralull,5 målepunkter i rommet,Kjeller,-1,-1.1,14.189766675910334,14.189766675910334,0.07047332227792574,0.35277522233374736,0.6472247776662526,0.0,11.921624055050621,5,0.03855169242047789,0.07072948715172456,0.5507251446215115,0.9999492955763,0.10928117957220244,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | full utskifting + mineralull,5 målepunkter i rommet,1. etasje,0,1.5,3.3739246739084297,3.3739246739084297,0.2963907308699864,0.7764612228200174,0.22353877717998258,0.0,0.0,4,0.4486751521182531,0.1291710286462116,0.7436205829470717,1.2059889040579064,0.5778461807644647,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | full utskifting + mineralull,5 målepunkter i rommet,2. etasje,1,4.5,4.643376055772181,4.643376055772181,0.21536054542834196,0.6681332703471679,0.3318667296528321,0.7389451382382641,0.0,3,0.5002190164322882,0.24846247965960674,1.9451084870412334,1.5313012453115646,0.7486814960918949,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | full utskifting + mineralull,5 målepunkter i rommet,3. etasje,2,7.5,4.842357597433706,4.842357597433706,0.20651097732434465,0.48574197885900267,0.5142580211409973,1.252122933293688,0.0,2,0.47128228464457783,0.49894945392495993,2.696155236194249,2.0020537943392656,0.9702317385695378,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | full utskifting + mineralull,5 målepunkter i rommet,4. etasje,3,10.5,3.929756905523845,3.929756905523845,0.2544686666481467,0.2794740848358206,0.7205259151641795,1.6950226097836676,0.0,1,0.4144983029799755,1.068638508161122,3.125342298506251,2.703024826912091,1.4831368111410974,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | full utskifting + mineralull,5 målepunkter i rommet,5. etasje,4,13.5,2.323026147454363,2.323026147454363,0.43047298503111037,0.12127916243447426,0.8787208375655257,2.092333162241398,0.0,0,0.36950135089322333,2.6771996938378586,3.3529218731732007,3.7246443172136283,3.046701044731082,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm,Trebygg | referanse lett,5 målepunkter i rommet,Kjeller,-1,-1.1,7.880872960119875,7.880872960119875,0.12688949626016927,0.1959282893220615,0.8040717106779385,0.0,11.921624055050621,5,0.03855169242047789,0.15821260615974236,0.5507251446215115,0.9999492955763,0.19676429858022026,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,80.0,350.0,300.0
