scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,diag_avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm | R=30 m,Murbygg | referanse lett,5 målepunkter,2. etasje,1,4.5,5.361418842313,5.361418842313,0.18651779116898545,0.30482069510482235,0.6951793048951778,0.8412668565134835,0.0,3,0.18230243527574347,0.4157620603552141,1.6751730104826723,1.5313012453115646,0.5980644956309575,3.206474255794237,exposed_above_grade,same_as_floor,sloped,30.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | referanse lett,5 målepunkter,3. etasje,2,7.5,4.8567973425368836,4.8567973425368836,0.2058969994983697,0.1792133823024214,0.8207866176975787,1.4147512812936522,0.0,2,0.15709706150856156,0.7194951856231918,2.255377102018669,2.0020537943392656,0.8765922471317533,4.257430896357935,exposed_above_grade,same_as_floor,sloped,30.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | referanse lett,5 målepunkter,4. etasje,3,10.5,3.662946829281391,3.662946829281391,0.27300423582620864,0.07926497752055783,0.9207350224794422,1.9124356750824387,0.0,1,0.11316140018311929,1.3144728933328313,2.5263236818955397,2.703024826912091,1.4276342935159507,5.229348508807631,exposed_above_grade,same_as_floor,sloped,30.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | referanse lett,5 målepunkter,5. etasje,4,13.5,2.295747253650682,2.295747253650682,0.43558801972203454,0.030016138398540136,0.9699838616014598,2.3934395812251887,0.0,0,0.0828459108567972,2.6771996938378586,2.6117227997147654,3.7246443172136283,2.760045604694656,6.336367116928393,exposed_above_grade,same_as_floor,sloped,30.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | stubbloft bevart,5 målepunkter,Kjeller,-1,-1.1,37.75412634400393,37.75412634400393,0.02648717098863073,0.9888623049385636,0.011137695061436461,0.0,7.730966089841017,5,0.0388671764129183,0.00043776646821726576,0.4839744839019498,0.9999492955763,0.03930494288113556,1.4839237794782498,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | stubbloft bevart,5 målepunkter,1. etasje,0,1.5,4.654363629959945,4.654363629959945,0.21485214295742638,0.994851496644345,0.005148503355654983,0.0,0.0,4,0.39727843493888426,0.002055974547267956,0.6526586476459721,1.2059889040579064,0.39933440948615223,1.8586475517038785,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | stubbloft bevart,5 målepunkter,2. etasje,1,4.5,17.340638550188913,17.340638550188913,0.057668003234466,0.9452592157746734,0.0547407842253266,0.8412668565134835,0.0,3,0.1747887963676355,0.010122171386738512,1.6751730104826723,1.5313012453115646,0.18491096775437402,3.206474255794237,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | stubbloft bevart,5 målepunkter,3. etasje,2,7.5,39.3227010163105,39.3227010163105,0.02543060303983732,0.5140551689924435,0.4859448310075564,1.4147512812936522,0.0,2,0.055656257132315166,0.052612777962502244,2.255377102018669,2.0020537943392656,0.10826903509481742,4.257430896357935,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | stubbloft bevart,5 målepunkter,4. etasje,3,10.5,15.742195399685603,15.742195399685603,0.06352354132384684,0.08374019233630992,0.91625980766369,1.9124356750824387,0.0,1,0.027817381172253276,0.3043693549237851,2.5263236818955397,2.703024826912091,0.3321867360960384,5.229348508807631,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | stubbloft bevart,5 målepunkter,5. etasje,4,13.5,2.34766813199843,2.34766813199843,0.42595458292001415,0.00807887418210618,0.9919211258178939,2.3934395812251887,0.0,0,0.02180491868146788,2.6771996938378586,2.6117227997147654,3.7246443172136283,2.6990046125193263,6.336367116928393,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | full utskifting + mineralull,5 målepunkter,Kjeller,-1,-1.1,13.539862722216853,13.539862722216853,0.07385599252488374,0.3546383178899736,0.6453616821100264,0.0,7.730966089841017,5,0.0388671764129183,0.07072948715172456,0.4839744839019498,0.9999492955763,0.10959666356464286,1.4839237794782498,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | full utskifting + mineralull,5 målepunkter,1. etasje,0,1.5,3.5305336604326216,3.5305336604326216,0.283243298656856,0.7546373629739064,0.2453626370260937,0.0,0.0,4,0.39727843493888426,0.1291710286462116,0.6526586476459721,1.2059889040579064,0.5264494635850958,1.8586475517038785,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | R=30 m,Trebygg | full utskifting + mineralull,5 målepunkter,2. etasje,1,4.5,5.165003496843462,5.165003496843462,0.1936107111275219,0.5997754936103818,0.40022450638961804,0.8412668565134835,0.0,3,0.372345281216807,0.24846247965960674,1.6751730104826723,1.5313012453115646,0.6208077608764138,3.206474255794237,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,80.0,350.0,300.0
