utskiftet_dekke,Kjeller,1. etasje,2. etasje,3. etasje,4. etasje,5. etasje
Kjellerdekke,2 % (39.9→39.1),0 %,0 %,0 %,0 %,0 %
Dekke 1.–2. et.,2 % (39.9→39.1),2 % (10.1→9.9),48 % (37.8→19.8),8 % (56.1→51.7),0 %,0 %
Dekke 2.–3. et.,2 % (39.9→39.1),2 % (10.1→9.9),17 % (37.8→31.4),39 % (56.1→34.2),2 % (18.2→17.9),0 %
Dekke 3.–4. et.,2 % (39.9→39.1),2 % (10.1→9.9),17 % (37.8→31.4),56 % (56.1→24.7),8 % (18.2→16.7),0 %
Dekke 4.–5. et.,2 % (39.9→39.1),2 % (10.1→9.9),17 % (37.8→31.4),56 % (56.1→24.7),70 % (18.2→5.4),1 % (2.6→2.6)
