etasje,PF_stubbloft,PF_utskifting,ratio,Ground%_stubb,Roof%_stubb,Ground%_utsk,Roof%_utsk,mekanisme
Kjeller,39.9,14.21,2.81,98.9,1.1,35.2,64.8,Kjelleråpning dominerer
1. etasje,10.08,6.08,1.66,98.9,1.1,59.7,40.3,Ground shine dominerer (fasade)
2. etasje,37.8,8.41,4.5,89.0,11.0,39.9,60.1,Overgang ground/roof
3. etasje,56.1,7.58,7.4,37.2,62.8,19.5,80.5,Roof shine dominerer
4. etasje,18.18,5.06,3.59,5.0,95.0,7.2,92.8,"Roof shine, 1 skiller over"
5. etasje,2.64,2.58,1.02,0.3,99.7,2.2,97.8,"Kun tak, lite følsom for M_floor"
